station,valid,tmpc,dwpc,relh,sknt,gust,peak_wind_drct
NZAA,1/01/2015 0:00,21,11,52.77,15,,
NZAA,1/01/2015 0:30,21,10,49.37,16,,
NZAA,1/01/2015 1:00,21,12,56.38,16,,
NZAA,1/01/2015 1:30,21,13,60.21,16,,
NZAA,1/01/2015 2:00,21,12,56.38,16,,
NZAA,1/01/2015 2:30,21,12,56.38,13,,
NZAA,1/01/2015 3:00,21,11,52.77,15,,
NZAA,1/01/2015 3:30,21,11,52.77,16,,
NZAA,1/01/2015 4:00,20,10,52.51,15,,
NZAA,1/01/2015 4:30,20,10,52.51,15,,
NZAA,1/01/2015 5:00,20,10,52.51,14,,
NZAA,1/01/2015 5:30,19,10,55.88,14,,
NZAA,1/01/2015 6:00,19,9,52.25,15,,
NZAA,1/01/2015 6:30,19,10,55.88,14,,
NZAA,1/01/2015 7:00,18,11,63.6,13,,
NZAA,1/01/2015 7:30,17,10,63.38,12,,
NZAA,1/01/2015 8:00,17,10,63.38,11,,
NZAA,1/01/2015 8:30,17,10,63.38,10,,
NZAA,1/01/2015 9:00,17,10,63.38,8,,
NZAA,1/01/2015 9:30,16,11,72.2,7,,
NZAA,1/01/2015 10:00,16,11,72.2,8,,
NZAA,1/01/2015 10:30,16,11,72.2,7,,
NZAA,1/01/2015 11:00,15,11,76.98,5,,
NZAA,1/01/2015 11:30,15,12,82.25,5,,
NZAA,1/01/2015 12:00,15,12,82.25,6,,
NZAA,1/01/2015 12:30,15,12,82.25,5,,
NZAA,1/01/2015 13:00,15,12,82.25,4,,
NZAA,1/01/2015 13:30,15,12,82.25,3,,
NZAA,1/01/2015 14:00,14,12,87.74,2,,
NZAA,1/01/2015 14:30,14,12,87.74,3,,
NZAA,1/01/2015 15:00,13,12,93.65,2,,
NZAA,1/01/2015 15:30,13,11,87.65,2,,
NZAA,1/01/2015 16:00,13,12,93.65,2,,
NZAA,1/01/2015 16:30,12,12,100,1,,
NZAA,1/01/2015 17:00,12,12,100,2,,
NZAA,1/01/2015 17:30,12,11,93.6,3,,
NZAA,1/01/2015 18:00,13,12,93.65,3,,
NZAA,1/01/2015 18:30,15,13,87.83,2,,
NZAA,1/01/2015 19:00,15,13,87.83,2,,
NZAA,1/01/2015 19:30,17,14,82.5,1,,
NZAA,1/01/2015 20:00,18,15,82.62,2,,
NZAA,1/01/2015 20:30,19,15,77.6,4,,
NZAA,1/01/2015 21:00,19,14,72.74,4,,
NZAA,1/01/2015 21:30,19,14,72.74,5,,
NZAA,1/01/2015 22:00,20,15,72.92,5,,
NZAA,1/01/2015 22:30,20,14,68.35,6,,
NZAA,1/01/2015 23:00,21,13,60.21,6,,
NZAA,1/01/2015 23:30,21,13,60.21,7,,
NZAA,2/01/2015 0:00,22,14,60.44,9,,
NZAA,2/01/2015 0:30,22,15,64.48,10,,
